Id,logDate,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
8792009665,04/13/2016,1,531,552
8792009665,04/14/2016,1,486,503
8792009665,04/15/2016,1,363,377
8792009665,04/20/2016,1,528,547
8792009665,04/22/2016,1,391,407
8792009665,04/23/2016,1,339,360
8792009665,04/27/2016,1,423,428
8792009665,04/28/2016,1,402,416
8792009665,04/29/2016,1,398,406
8792009665,04/30/2016,1,343,360
8792009665,05/01/2016,1,503,527
8792009665,05/02/2016,1,415,423
8792009665,05/03/2016,1,516,545
8792009665,05/04/2016,1,439,463
